object_id,name
000405d9a5e3f49fc49d,albumen print
0012765f7a97ccc3e9e9,salted paper print
0012765f7a97ccc3e9e9,albumen print
00133be3ff222c9b74b0,etching
0017be8caa87206532cb,albumen print
001f4c71b4d53497b531,engraving
00220cd4bfa082d2aa20,etching
0026e030a0209b834b3e,etching
00296c8c8f675e27e365,albumen print
002e028b35d246691b14,etching
002e028b35d246691b14,letterpress printing
002e8cc8975591c3152d,engraving
002e8cc8975591c3152d,etching
00314bd89a132fcce1e3,albumen print
003a628b7e381d284697,engraving
003b386ec21ca47dc206,engraving
004082c1836973e59763,engraving
004849ad724e8aa6f1b6,gelatin silver print
0048e1fbe702c641f315,etching
004cd7bba54e0f9f0f80,etching
005143d648d06d8adde3,etching
005a6412c1d6eff9da90,etching
005ed2032b2856e856f8,engraving
0060c6e56efd407da9e3,albumen print
006421a3e38e81462d7c,gelatin silver print
0066fdf8c338979f8dff,albumen print
0067aea6a209d678efcf,engraving
0067aea6a209d678efcf,etching
006b2e0a4a932174d82d,etching
0070acc36ae0f0eace04,gelatin silver slide on glass
00729dd41140851737da,gelatin silver print
007898ec2976b7da6a03,engraving
007a498abd48d47530ad,engraving
00815fc74c56fba4c9f0,engraving
0082807aa3471f3b8b64,albumen print
00846349f5eedc496cc4,albumen print
0084b9817359b180a6f4,albumen print
0087ebe7951c787c5da5,engraving
008f9b62800a4bc9e7b9,engraving
00901c757c6834094b95,etching
009194c7c406e70fcc73,etching
009266040ee611f12928,etching
009266040ee611f12928,letterpress printing
00927517ef1135edc450,albumen print
0095f89d802f41684eeb,gelatin silver print
00984d4b6ed3a13f93c7,gelatin silver print
009cc381a550603d4042,etching
009cc381a550603d4042,writing (processes)
009cc381a550603d4042,engraving
009d44bd779a8722b00c,etching
009d44bd779a8722b00c,letterpress printing
00a87da84ac1e0cdf3ed,etching
00aec7ea1ddcdbd7128a,gelatin silver print
00af690c350de8730119,engraving
00b9ec9c9828d10a05b9,albumen print
00ba3fc884482f926862,etching
00be0b201fcd88cda22f,etching
00c5fa5d0ca2b9ac16f9,albumen print
00c662ae2f935e296061,colour woodcut
00cd543929cbd97be573,gelatin silver print
00cf45a1f5848cf2d958,albumen print
00d454ff424b1bf8c766,engraving
00d47d7a594eac994942,etching
00d601332278b5dad17e,gelatin silver print
00d6125e9fc28ade559c,albumen print
00d6ff8253126e4570f0,slide
00d921237c39704f586c,etching
00d921237c39704f586c,engraving
00da76cc59e1f7fd574f,engraving
00dd421d97eca3a000df,albumen print
00ddae27ad7125e35626,engraving
00ddae27ad7125e35626,etching
00df0ebaa9f41ac80d1b,engraving
00e1d6567d54bc6c9598,gelatin silver print
00e2e2af2714aa26c058,etching
00e2e2af2714aa26c058,letterpress printing
00e6282125470eeb2c8f,albumen print
00e9aeb24986c901d162,engraving
00f12e153484ac5fadfa,etching
00fb7aa9ce2136fb4606,albumen print
00fcdc45edc980fde941,drypoint
00fcdc45edc980fde941,etching
00fddc2d19ca36014fed,etching
00fddc2d19ca36014fed,engraving
00fe6fe2e57cf241cee0,gelatin silver print
0101617c79bc2b9b5d15,albumen print
010670ab58ff586e595d,albumen print
010698c1fbc7fcff11a8,letterpress printing
010698c1fbc7fcff11a8,engraving
0106d9de2f9dbaa6c380,ambrotype
0107e3146682777881a6,albumen print
0108d1513c51faa1e46c,gelatin silver print
0109ea95b45d61c86a95,albumen print
010f0bc8a66f233dd843,engraving
01116013590a66210985,albumen print
011596145672eab69f14,engraving
0118c2b2870a660409f0,etching
011b2f60d6e8d90f3da4,slide
01237239861552ce96b9,drypoint
01246f15d0833def5518,albumen print
0124a857715d7527f92a,letterpress printing
0124a857715d7527f92a,etching
0125a971c83d2b13d0c0,albumen print
012f11dd648c1d522ae3,etching
012f85a6ce6d94c98209,albumen print
01349c1bf6e3c4ff3b36,etching
01349c1bf6e3c4ff3b36,engraving
013c6642fdfcc829737f,albumen print
01429677d183726f36fb,engraving
0143224ed3bcbeda6ec1,etching
0143a03f4f13d1650bd8,albumen print
014869c9bcc8b0a5aa03,etching
